GEO.id2,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,,,,,
Id2,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,,,,,
2115,13294,1927,362,4284,,,,,
2116,13577,3474,331,3380,,,,,
2118,14430,3678,533,4820,,,,,
2119,11437,4655,512,4376,,,,,
2120,6945,1454,270,2807,,,,,
2121,10430,4506,741,4399,,,,,
2122,12124,5899,1346,4041,,,,,
2124,24801,11671,1935,9144,,,,,
2125,17381,8036,1553,5998,,,,,
2126,12723,6259,1605,4038,,,,,
2127,22432,9458,1575,8333,,,,,
2128,24620,6629,1917,14071,,,,,
2129,10295,4869,562,2775,,,,,
2130,22944,8223,988,9783,,,,,
2131,16567,9549,1227,4376,,,,,
2132,14810,10250,1190,2395,,,,,
2134,11227,3373,414,4527,,,,,
2135,22079,10389,1056,7366,,,,,
2136,15189,9155,1540,3496,,,,,
2138,19435,5474,718,4374,,,,,
2139,21809,5184,630,6316,,,,,
2140,10924,3956,552,4022,,,,,
2141,7821,2490,358,2522,,,,,
2142,1356,281,46,341,,,,,
2143,17204,6119,995,4902,,,,,
2144,16677,5987,774,7140,,,,,
2145,14167,7234,1511,3657,,,,,
2148,31092,15749,3526,9685,,,,,
2149,22316,12271,2953,5236,,,,,
2150,18198,7705,3151,4879,,,,,
2151,26990,15943,2216,7310,,,,,
2152,9253,5881,983,1705,,,,,
2155,32217,19909,2763,5432,,,,,
2163,577,70,8,198,,,,,
2169,30075,19241,2796,6912,,,,,
2170,10459,5433,915,3154,,,,,
2171,9851,5201,1104,3080,,,,,
2176,15084,10503,559,2974,,,,,
2180,11863,9951,583,692,,,,,
2184,18756,13935,1536,2418,,,,,
2186,13654,9245,1141,1538,,,,,
2188,7780,6132,634,620,,,,,
2189,7751,5857,724,907,,,,,
2190,8711,6963,704,622,,,,,
2191,4297,3425,279,370,,,,,
2199,600,188,6,215,,,,,
2203,0,0,0,0,,,,,
2210,1803,595,103,390,,,,,
2215,12102,1603,193,3369,,,,,
2301,25903,20050,2521,1709,,,,,
2302,15980,12539,1512,1079,,,,,
2322,2483,2062,233,93,,,,,
2324,13363,10371,959,547,,,,,
2330,5865,5169,319,37,,,,,
2332,7168,5693,231,254,,,,,
2333,7587,6583,498,238,,,,,
2338,3969,3388,351,127,,,,,
2339,7029,5666,360,539,,,,,
2341,5561,4711,267,248,,,,,
2343,5579,4442,344,599,,,,,
2346,11901,10442,671,189,,,,,
2347,6036,5165,337,256,,,,,
2351,8782,6825,802,831,,,,,
2356,6773,5668,341,314,,,,,
2357,359,50,14,6,,,,,
2359,9875,8129,843,399,,,,,
2360,28711,23213,2175,954,,,,,
2364,6579,5539,390,216,,,,,
2366,0,0,0,0,,,,,
2367,1457,1270,71,49,,,,,
2368,16582,12462,1739,1704,,,,,
2370,9232,7649,963,335,,,,,
2375,5154,4313,321,222,,,,,
2379,3484,2831,278,165,,,,,
2382,7967,6874,423,357,,,,,
2420,6401,4766,370,482,,,,,
2421,8377,5905,587,842,,,,,
2445,10455,3917,536,3312,,,,,
2446,16259,5068,677,4866,,,,,
2451,10553,8139,749,778,,,,,
2452,7720,5450,457,482,,,,,
2453,16301,10462,1676,1484,,,,,
2457,681,152,43,49,,,,,
2458,6656,4477,586,800,,,,,
2459,9161,5793,872,985,,,,,
2460,5195,3639,284,624,,,,,
2461,3769,2268,222,703,,,,,
2462,676,428,51,105,,,,,
2464,1715,1241,57,183,,,,,
2465,5775,3989,425,558,,,,,
2466,4222,2505,389,427,,,,,
2467,10672,5074,875,1588,,,,,
2468,3108,2152,165,369,,,,,
2472,19621,12833,1626,3187,,,,,
2474,15244,9682,865,2794,,,,,
2476,8840,5841,627,1516,,,,,
2478,12779,8136,1029,1815,,,,,
2481,6813,4165,330,748,,,,,
2482,4750,3116,218,534,,,,,
2492,9457,6674,627,1045,,,,,
2493,4909,3482,247,292,,,,,
2494,5179,3898,279,559,,,,,
2532,5784,5028,437,3,,,,,
2534,576,483,0,0,,,,,
2535,727,536,40,5,,,,,
2536,9098,7766,492,169,,,,,
2537,3008,2631,126,59,,,,,
2538,1395,1193,88,0,,,,,
2539,1883,1535,127,51,,,,,
2540,3355,2688,185,102,,,,,
2542,290,257,14,9,,,,,
2543,441,196,48,22,,,,,
2553,157,157,0,0,,,,,
2554,5873,4007,540,77,,,,,
2556,1199,941,66,25,,,,,
2557,2078,1620,163,62,,,,,
2558,745,634,0,0,,,,,
2559,2187,1855,254,11,,,,,
2561,284,242,29,13,,,,,
2562,1554,1343,61,17,,,,,
2563,5121,4303,386,20,,,,,
2564,148,98,18,0,,,,,
2568,2152,1569,122,131,,,,,
2571,5076,4374,511,0,,,,,
2575,1349,849,62,76,,,,,
2576,2489,2310,79,24,,,,,
2584,9,9,0,0,,,,,
2601,7253,5944,588,139,,,,,
2630,930,818,72,0,,,,,
2631,4438,3597,146,95,,,,,
2632,4797,4071,272,58,,,,,
2633,1705,1334,100,33,,,,,
2635,1394,1166,38,48,,,,,
2637,44,29,0,0,,,,,
2638,1258,1062,59,0,,,,,
2639,1170,921,71,57,,,,,
2641,110,86,10,0,,,,,
2642,2377,1775,246,12,,,,,
2643,9,9,0,0,,,,,
2644,2511,2214,221,12,,,,,
2645,4413,3612,440,29,,,,,
2646,730,589,31,0,,,,,
2647,36,27,0,0,,,,,
2648,3582,3027,292,39,,,,,
2649,6285,5256,511,80,,,,,
2650,543,467,42,0,,,,,
2651,0,0,0,0,,,,,
2652,439,354,6,0,,,,,
2653,2454,1757,173,30,,,,,
2655,1358,1097,42,0,,,,,
2657,1559,809,167,9,,,,,
2659,384,328,16,8,,,,,
2660,2931,2500,270,52,,,,,
2663,23,23,0,0,,,,,
2664,4426,3666,280,120,,,,,
2666,372,266,27,0,,,,,
2667,1386,979,57,25,,,,,
2668,1696,1396,43,0,,,,,
2669,114,99,0,9,,,,,
2670,612,513,19,7,,,,,
2671,270,179,41,0,,,,,
2672,155,155,0,0,,,,,
2673,4087,3492,252,184,,,,,
2675,2909,2363,123,42,,,,,
2702,2365,2136,132,22,,,,,
2703,22121,18262,1586,1100,,,,,
2713,43,14,3,0,,,,,
2715,1363,1181,114,23,,,,,
2717,2262,2098,92,8,,,,,
2718,3465,2973,399,78,,,,,
2719,8136,6895,589,150,,,,,
2720,13814,11508,1448,111,,,,,
2721,9974,7867,1182,193,,,,,
2723,5594,4621,599,138,,,,,
2724,6543,5109,823,135,,,,,
2725,1157,1050,58,0,,,,,
2726,7145,6312,440,23,,,,,
2738,2126,1802,90,43,,,,,
2739,3043,2693,67,13,,,,,
2740,18498,13608,2657,420,,,,,
2743,5405,4907,252,0,,,,,
2744,4532,2985,1084,142,,,,,
2745,12395,9995,1767,173,,,,,
2746,5748,3658,1193,162,,,,,
2747,10824,8411,868,110,,,,,
2748,5430,4569,496,11,,,,,
2760,13865,11607,911,604,,,,,
2762,5104,4102,531,99,,,,,
2763,1270,1098,16,38,,,,,
2764,2207,1926,113,15,,,,,
2766,10300,8166,621,302,,,,,
2767,6759,5709,522,316,,,,,
2769,6475,5279,595,83,,,,,
2770,2716,2400,177,7,,,,,
2771,7495,6595,361,182,,,,,
2777,8616,7973,422,105,,,,,
2779,3393,3012,267,0,,,,,
2780,23017,19646,1814,335,,,,,
2790,7783,6847,538,100,,,,,
2791,44,35,0,9,,,,,
2802,554,554,0,0,,,,,
2804,1417,1182,126,25,,,,,
2806,7916,6636,369,225,,,,,
2807,479,265,21,7,,,,,
2808,1275,1159,78,0,,,,,
2809,10672,8367,832,137,,,,,
2812,892,778,36,18,,,,,
2813,3695,3208,180,10,,,,,
2814,3924,3399,291,28,,,,,
2815,103,75,28,0,,,,,
2816,16770,14401,1771,81,,,,,
2817,2906,2360,363,40,,,,,
2818,8891,7633,368,170,,,,,
2822,3509,2919,196,49,,,,,
2825,2897,2497,283,15,,,,,
2826,301,286,15,0,,,,,
2827,1101,1006,57,0,,,,,
2828,3613,3256,250,29,,,,,
2830,3130,2750,174,15,,,,,
2831,1625,1524,27,18,,,,,
2832,2701,2361,219,0,,,,,
2833,321,275,13,0,,,,,
2835,2726,2098,267,31,,,,,
2836,76,76,0,0,,,,,
2837,1782,1317,41,9,,,,,
2838,1995,1813,93,16,,,,,
2839,782,669,113,0,,,,,
2840,12355,8151,1129,342,,,,,
2841,1163,274,0,13,,,,,
2842,7994,6276,918,138,,,,,
2852,11312,9831,578,198,,,,,
2857,5560,4979,249,33,,,,,
2858,437,390,31,0,,,,,
2859,3173,2768,157,32,,,,,
2860,20218,15119,2713,1049,,,,,
2861,12740,10690,1102,254,,,,,
2863,7859,4818,1797,411,,,,,
2864,17821,15153,1098,505,,,,,
2865,8032,7110,398,152,,,,,
2871,7860,6474,685,109,,,,,
2872,104,93,0,11,,,,,
2873,176,176,0,0,,,,,
2874,3355,2798,278,35,,,,,
